datetimeLoc,latitude,longitude,response_time_sec
2019-11-13T18:41:44.900000,38.8975014,-76.9783212,276
2019-11-13T18:46:52.571000,38.8974391,-76.9782342,209
2019-11-13T18:58:57.381000,38.9188023,-77.0408944,951
2019-11-13T19:01:08.477000,38.9095415,-77.0228815,4137
2019-11-13T19:14:03.505000,38.8995383,-77.0216683,3006
2019-11-13T19:39:57.925000,38.9030998,-77.0534862,113
2019-11-13T19:42:05.716000,38.9030187,-77.0534406,18946
2019-11-13T19:45:13.679000,38.8976151,-76.9781203,4230
2019-11-13T19:52:02.219000,38.9187309,-77.0409422,260
2019-11-13T20:56:02.358000,38.8976249,-76.9781433,40885
2019-11-13T21:20:27.709000,38.8750275,-77.0058799,2584
2019-11-13T21:32:06.607000,38.903799,-77.0179283,1759
2019-11-13T21:41:28.988000,38.9053987,-77.0218664,308
2019-11-13T21:54:43.399000,38.9278263,-77.0260508,214
2019-11-13T22:09:26.424000,38.9268074,-77.0374084,355
2019-11-13T22:10:07.057000,38.9263253,-77.037146,3288
2019-11-13T22:14:34.277000,38.9051583,-77.0219883,3273
2019-11-13T22:19:02.680000,38.9116968,-77.0090734,121
2019-11-13T22:20:13.855000,38.90393,-77.0179833,16308
2019-11-13T22:25:43.025000,38.9025147,-76.989886,67
2019-11-13T22:27:00.584000,38.9006308,-76.9855351,725
2019-11-13T22:39:45.800000,38.8967459,-76.9775723,1542
2019-11-14T00:57:55.886000,38.9030564,-77.053578,53613
2019-11-14T01:04:41.841000,38.9037727,-77.0094661,9794
2019-11-14T03:51:01.443000,38.9038233,-77.0096083,584
2019-11-14T05:59:29.660000,38.911769,-77.0660225,17859
2019-11-14T07:28:00.382000,38.8888184,-77.0216752,18860
2019-11-14T08:17:56.422000,38.8975562,-76.9781831,22780
2019-11-14T09:06:18.181000,38.8974845,-77.0550498,4013
2019-11-14T10:02:15.858000,38.8985311,-77.0334215,4259
2019-11-14T10:08:26.962000,38.9029183,-77.0394899,4054
2019-11-14T10:29:25.277000,38.8766961,-77.0158324,1681
2019-11-14T11:09:54.163000,38.9158295,-77.0435494,195
2019-11-14T12:14:02.684000,38.9058337,-77.0224396,9734
2019-11-14T12:46:24.518000,38.8877783,-77.01907,11253
2019-11-14T13:00:03.262000,38.8983933,-77.0199533,1716
2019-11-14T14:20:32.379000,38.8923104,-77.0322967,3150
2019-11-14T14:43:13.907000,38.8922559,-77.0246937,75
2019-11-14T14:46:53.009000,38.8816402,-77.0179407,64
2019-11-14T14:46:53.715000,38.8811552,-77.0179425,63
2019-11-14T14:48:24.298000,38.879163,-77.0152631,369
2019-11-14T14:56:48.920000,38.9062012,-77.0224065,723
2019-11-14T15:51:57.003000,38.9030563,-77.0534195,143
2019-11-14T15:54:23.779000,38.8876515,-77.0191105,63587
2019-11-14T15:54:26.198000,38.9030649,-77.0534283,4087
2019-11-14T16:05:51.087000,38.9208876,-77.0294025,471
2019-11-14T16:14:02.757000,38.9208217,-77.0292738,3291
2019-11-14T16:14:03.769000,38.8922844,-77.044863,75933
2019-11-14T16:21:49.574000,38.8974921,-77.0516068,4298
2019-11-14T16:30:21.311000,38.8974937,-76.9784386,5855
2019-11-14T16:52:09.559000,38.8954103,-77.0313628,26626
2019-11-14T16:52:10.571000,38.8956619,-77.0314134,52275
2019-11-14T17:07:28.823000,38.9024514,-77.021066,1593
2019-11-14T17:09:01.367000,38.9208045,-77.0293101,80468
2019-11-14T17:19:27.470000,38.9285867,-77.0336183,1081
2019-11-14T18:12:09.413000,38.8974967,-76.97837,202
2019-11-14T18:17:03.918000,38.8975877,-76.9782908,1025
2019-11-14T18:47:53.019000,38.8976323,-76.9783313,419
2019-11-14T19:16:45.496000,38.89762,-76.9783917,81
2019-11-14T19:18:18.692000,38.89762,-76.9783917,43712
2019-11-14T20:18:00.428000,38.9034917,-77.05363,1307
2019-11-14T20:32:23.093000,38.9109122,-77.0444366,43316
2019-11-14T22:50:19.087000,38.909715,-77.04262,537
2019-11-14T23:20:37.186000,38.8765898,-77.0070565,1874
2019-11-14T23:27:37.476000,38.9008612,-77.0532359,119
2019-11-14T23:59:26.012000,38.9201718,-77.0418,1065
2019-11-15T00:02:06.810000,38.9126417,-77.0222984,8893
2019-11-15T00:08:26.317000,38.909755,-77.0424633,14221
2019-11-15T01:00:32.684000,38.8997268,-77.0177168,20097
2019-11-15T01:32:01.354000,38.9076435,-77.0712358,20840
2019-11-15T01:59:17.111000,38.8968035,-77.0435321,2956
2019-11-15T02:30:41.533000,38.9125964,-77.0220464,11540
2019-11-15T02:50:45.778000,38.9058508,-77.0652234,12341
2019-11-15T02:59:59.151000,38.8967464,-77.0437878,12016
2019-11-15T05:20:52.786000,38.9204917,-77.0421545,3661
2019-11-15T05:35:24.514000,38.9286939,-77.0326906,4415
2019-11-15T05:43:04.986000,38.9126417,-77.0220682,5211
2019-11-15T05:57:45.505000,38.9295619,-77.0376087,21210
2019-11-15T06:17:20.285000,38.9058633,-77.065205,16988
2019-11-15T07:46:34.382000,38.9286022,-77.0328864,1752
2019-11-15T08:16:19.274000,38.9286224,-77.0328427,548
2019-11-15T08:25:48.705000,38.9286415,-77.0330306,1020
2019-11-15T08:35:07.485000,38.9152738,-77.0417517,1584
2019-11-15T08:39:30.584000,38.9150556,-77.0420301,410
2019-11-15T08:43:11.761000,38.9288242,-77.0333034,17588
2019-11-15T09:12:26.579000,38.914956,-77.0421632,1206
2019-11-15T09:32:52.829000,38.91506,-77.0422183,767
2019-11-15T09:45:51.111000,38.9150675,-77.0420743,80848
