datetimeLoc,latitude,longitude,response_time_sec
2019-11-25T08:59:57.393000,38.9419317,-77.0287617,3045
2019-11-25T08:51:14.821000,38.9418933,-77.0283433,481
2019-11-25T08:32:49.142000,38.9012659,-76.9999162,721
2019-11-25T08:16:58.952000,38.9058916,-76.9880744,2447
2019-11-25T08:14:12.340000,38.9189453,-77.0347197,8387
2019-11-25T07:39:39.280000,38.91926,-77.0316983,5438
2019-11-25T07:25:43.998000,38.9189836,-77.037382,6303
2019-11-25T07:03:37.599000,38.901265,-77.0000817,5343
2019-11-25T06:33:22.427000,38.9012596,-77.0335802,15101
2019-11-25T03:28:53.957000,38.89445,-77.028018,8582
2019-11-25T03:14:59.434000,38.9290848,-77.0604285,22855
2019-11-25T03:07:33.486000,38.9015046,-77.0332863,12340
2019-11-25T02:29:18.860000,38.9305352,-77.0379283,9992
2019-11-25T02:06:47.519000,38.906295,-77.0417517,7296
2019-11-25T01:51:27.107000,38.9098021,-77.033676,31747
2019-11-25T01:50:56.593000,38.9095939,-77.0343359,31692
2019-11-24T22:31:55.616000,38.8970769,-77.048902,41024
2019-11-24T22:31:31.110000,38.9148768,-77.02981,2446
2019-11-24T22:29:59.825000,38.9169338,-77.0299725,33580
2019-11-24T22:20:48.280000,38.8756735,-77.2350299,5370
2019-11-24T22:17:32.120000,38.9170438,-77.0299158,735
2019-11-24T21:36:56.109000,38.9023879,-77.0128749,40076
2019-11-24T20:28:45.982000,38.9250275,-77.0511383,4084
2019-11-24T20:03:50.276000,38.9169617,-77.02984,955
2019-11-24T19:43:23.386000,38.8968947,-77.0487845,3879
2019-11-24T19:40:40.475000,38.9336506,-77.0724298,48097
2019-11-24T19:39:29.604000,38.8982837,-77.0217833,1926
2019-11-24T19:37:35.910000,38.8762055,-77.014668,48601
2019-11-24T19:28:30.310000,38.8910217,-77.03942,248
2019-11-24T19:23:04.439000,38.8765633,-77.0139883,259
2019-11-24T19:19:38.402000,38.8909881,-77.0394406,2457
2019-11-24T19:15:05.917000,38.8888219,-77.0331588,255
2019-11-24T19:08:46.412000,38.8915017,-77.023485,2278
2019-11-24T19:08:16.757000,38.891502,-77.0234456,2314
2019-11-24T18:27:46.496000,38.8769654,-77.0174316,44399
2019-11-24T18:17:06.542000,38.8887942,-77.0330592,2353
2019-11-24T18:14:20.696000,38.8973447,-77.0496147,1256
2019-11-24T17:35:15.655000,38.9087347,-77.0230224,12875
2019-11-24T17:31:51.106000,38.9051888,-77.0582674,1173
2019-11-24T17:30:00.516000,38.9336441,-77.0723372,1596
2019-11-24T17:10:20.539000,38.8970833,-77.0488083,9160
2019-11-24T17:09:50.421000,38.9246708,-77.052343,58690
2019-11-24T17:06:26.608000,38.9054124,-77.0222629,954
2019-11-24T16:48:13.296000,38.9245357,-77.0522915,1248
